5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	489	489
6	Landschaft	Landschaft	N	NN	Fem|Dat|Sg	4	pn	489	489
7	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	reich	reich	A	ADJD	Pos|	4	adv	652	652
3	die	die	A	ART	Def|Neut|_|Pl	4	det	652	652
4	Felder	Feld	N	NN	Neut|_|Pl	0	root	652	652
5	stehn	stehn	N	NE	Neut|_|Pl	4	app	652	652
6	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	76	76
2	Adjunkt	Adjunkt	N	NN	Masc|Nom|Sg	0	root	76	76
3	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Masc|Nom|Sg	5	det	_	_
4	gesegneter	gesegnet	A	ADJA	Pos|Masc|Nom|Sg|St|	5	attr	_	_
5	Strich	Strich	N	NN	Masc|Nom|Sg	2	pred	_	_
6	Landes	Land	N	NN	Neut|Gen|Sg	2	objg	22	22
7	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	103	103
2	Arzt	Arzt	N	NN	Masc|Nom|Sg	0	root	103	103
3	.	.	$	$.	_	0	root	_	_

1	Dort	dort	A	ADV	_	8	adv	_	_
2	,	,	$	$,	_	0	root	_	_
3	wo	wo	P	PWAV	_	6	adv	_	_
4	Sie	sie	P	PPER	3|Pl|_|Nom	6	subj	_	_
5	jetzt	jetzt	A	ADV	_	6	adv	_	_
6	hinkommen	hinkommen	V	VVFIN	3|Pl|Pres|_	1	rel	_	_
7	,	,	$	$,	_	0	root	_	_
8	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
10	wohl	wohl	A	ADV	_	8	adv	_	_
11	wilder	wild	A	ADJD	Comp|	8	pred	_	_
12	aus	aus	P	PTKVZ	_	8	avz	_	_
13	?	?	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	76	76
2	Adjunkt	Adjunkt	N	NN	Masc|Nom|Sg	0	root	76	76
3	.	.	$	$.	_	0	root	_	_

1	Düsterer	Düstere	N	NN	_|_|_	0	root	_	_
2	gewiß	gewiß	A	ADJD	Pos|	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Höhere	hoch	A	ADJA	Comp|Masc|_|Pl|St|	2	attr	_	_
2	Berge	Berg	N	NN	Masc|_|Pl	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	ragende	ragend	A	ADJA	Pos|Masc|_|_|_|<PPRES	5	attr	_	_
5	Felsen	Fels	N	NN	Masc|_|_	2	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	die	die	A	ART	Def|Masc|_|Pl	8	det	653	653
8	Wälder	Wald	N	NN	Masc|_|Pl	0	root	653	653
9	schwärzer	schwarz	A	ADJD	Comp|	0	root	_	_
10	als	als	K	KOKOM	_	9	kom	_	_
11	hier	hier	A	ADV	_	10	cj	_	_
12	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	103	103
2	Arzt	Arzt	N	NN	Masc|Nom|Sg	3	subj	103	103
3	setzt	setzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	nieder	nieder	P	PTKVZ	_	3	avz	_	_
6	.	.	$	$.	_	0	root	_	_

1	Glauben	glauben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	12	konj	_	_
5	Marie	Marie	N	NE	_|Nom|Sg	12	subj	8	8
