31	Aktes	Akt	N	NN	Masc|Gen|Sg	28	gmod	514	514
32	-	-	$	$(	_	0	root	_	_
33	alle	alle	A	PIDAT	Fem|_|Pl	34	det	_	_
34	Fabeln	Fabel	N	NN	Fem|_|Pl	38	obja	_	_
35	vom	von	P	APPRART	Dat	34	pp	_	_
36	Orpheus	Orpheus	N	NN	_|Dat|_	35	pn	_	_
37	glaublich	glaublich	A	ADJD	Pos|	38	pred	_	_
38	gemacht	machen	V	VVPP	_	24	aux	_	_
39	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Doch	doch	K	KON	_	4	koord	_	_
3	,	,	$	$,	_	0	root	_	_
4	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	726	726
6	nicht	nicht	P	PTKNEG	_	4	adv	_	_
7	Tor	Tor	N	NN	_|Nom|Sg	4	pred	_	_
8	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	726	726
3	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
4	ja	ja	A	ADV	_	3	adv	_	_
5	völlig	völlig	A	ADJD	Pos|	6	adv	_	_
6	konfuse	konfus	A	ADJA	Pos|_|Nom|_|_|	3	pred	_	_
7	;	;	$	$.	_	0	root	_	_
8	-	-	$	$(	_	0	root	_	_
9	auf	auf	P	APPR	Dat	12	pp	_	_
10	dem	die	A	ART	Def|Neut|Dat|Sg	11	det	33	33
11	Theater	Theater	N	NN	Neut|Dat|Sg	9	pn	33	33
12	steh	steh	V	VVFIN	1|Sg|_|_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	726	726
14	-	-	$	$(	_	0	root	_	_
15	und	und	K	KON	_	13	par	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	448	448
17	Besänftiger	Besänftiger	N	NN	Masc|Nom|Sg	18	subj	448	448
18	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	15	cj	_	_
19	irgendwo	irgendwo	A	ADV	_	18	adv	_	_
20	-	-	$	$(	_	0	root	_	_
21	zwischen	zwischen	P	APPR	_	12	pp	_	_
22	den	die	A	ART	Def|_|_|_	23	det	534	534
23	Kulissen	Kulisse	N	NN	_|_|_	21	pn	534	534
24	stecken	stecken	V	VVINF	_	0	root	_	_
25	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	726	726
3	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
4	ihn	er	P	PPER	3|Sg|Masc|Acc	5	obja	448	448
5	suchen	suchen	V	VVINF	_	3	aux	_	_
6	-	-	$	$(	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	726	726
8	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	3	kon	_	_
9	ihn	er	P	PPER	3|Sg|Masc|Acc	10	obja	448	448
10	finden	finden	V	VVINF	_	8	aux	_	_
11	-	-	$	$(	_	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	13	subj	448	448
13	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	8	kon	_	_
14	mich	ich	P	PPER	1|Sg|_|Acc	15	obja	726	726
15	retten	retten	V	VVINF	_	13	aux	_	_
