2	bitte	bitten	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	dich	du	P	PPER	2|Sg|_|Acc	2	obja	_	_
4	,	,	$	$,	_	0	root	_	_
5	Knabe	Knabe	N	NN	Masc|Nom|Sg	2	vok	_	_
6	,	,	$	$,	_	0	root	_	_
7	verkünde	verkünden	V	VVFIN	_|Sg|Pres|_	5	par	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	7	objd	1813	1813
9	ehrlich	ehrlich	A	ADJD	Pos|	7	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	ob	ob	K	KOUS	_	16	konj	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	1813	1813
13	nicht	nicht	P	PTKNEG	_	16	adv	_	_
14	zu	zu	P	PTKA	_	15	adv	_	_
15	lächerlich	lächerlich	A	ADJD	Pos|	16	pred	_	_
16	aussehe	aussehen	V	VVFIN	1|Sg|Pres|_	5	objc	_	_
17	?	?	$	$.	_	0	root	_	_
18	!	!	$	$.	_	0	root	_	_

1	Guck	Guck	N	NE	_	0	root	248	248
2	nur	nur	A	ADV	_	5	adv	_	_
3	die	die	A	ART	Def|Fem|_|Sg	5	det	_	_
4	alte	alt	A	ADJA	Pos|Fem|_|Sg|_|	5	attr	_	_
5	Halunkin	Halunkin	N	NN	Fem|_|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	13	adv	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	1814	1814
9	ihr	ihre	A	PPOSAT	_|_|Sg	10	det	1814	1814
10	Gaudium	Gaudium	N	NN	_|_|Sg	13	obja	_	_
11	an	an	P	APPR	Dat	13	pp	_	_
12	mir	ich	P	PPER	1|Sg|_|Dat	11	pn	1813	1813
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	5	objc	_	_
14	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	Mathilde	Mathilde	N	NE	_|Nom|Sg	3	subj	199	199
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
4	natürlich	natürlich	A	ADJD	Pos|	3	adv	_	_
5	auch	auch	A	ADV	_	3	adv	_	_
